customer_id,name,age,signup_date,region,monthly_spend,email,is_active
1118,Customer_117,22.0,2023-12-18,East,171.26,customer117@example.com,yes
1076,Customer_75,43.0,2023-08-14,North,181.07,customer75@example.com,1
1052,Customer_51,67.0,2023-06-03,East,119.97,customer51@example.com,1
1032,Customer_31,44.0,2023-04-04,West,,customer31@example.com,yes
1036,Customer_35,,2023-04-16,East,136.04,customer35@example.com,yes
1041,Customer_40,,2023-05-01,North,141.3,customer40@example.com,0
1015,Customer_14,57.0,2023-02-12,north,111.6,customer14@example.com,0
1110,Customer_109,41.0,2023-11-24,,155.57,customer109@example.com,0
1054,Customer_53,43.0,2023-06-09,SOUTH,102.68,customer53@example.com,No
1147,Customer_146,43.0,2024-03-14,North,217.13,customer146@example.com,Yes
1001,Customer_0,56.0,2023-01-01,North,138.58,customer0@example.com,1
1079,Customer_78,27.0,2023-08-23,South,134.34,customer78@example.com,yes
1093,Customer_92,64.0,2023-10-04,West,145.38,customer92@example.com,1
1091,Customer_90,62.0,2023-09-28,South,,customer90@example.com,No
1090,Customer_89,33.0,2023-09-25,West,118.26,customer89@example.com,1
1006,Customer_5,25.0,2023-01-16,East,143.42,customer5@example.com,Yes
1124,Customer_123,,2024-01-05,North,195.45,customer123@example.com,Yes
1017,Customer_16,20.0,2023-02-18,north,175.37,customer16@example.com,yes
1020,Customer_19,41.0,2023-02-27,SOUTH,178.82,customer19@example.com,1
1030,Customer_29,42.0,2023-03-29,West,170.14,customer29@example.com,0
1057,Customer_56,45.0,2023-06-18,East,123.32,customer56@example.com,Yes
1144,Customer_143,20.0,2024-03-05,north,129.76,customer143@example.com,Yes
1143,Customer_142,31.0,2024-03-02,north,146.4,customer142@example.com,0
1100,Customer_99,32.0,2023-10-25,South,226.94,customer99@example.com,Yes
1094,Customer_93,41.0,2023-10-07,East,183.27,customer93@example.com,0
1070,Customer_69,19.0,2023-07-27,SOUTH,131.8,customer69@example.com,0
1095,Customer_94,43.0,2023-10-10,East,137.23,customer94@example.com,Yes
1043,Customer_42,68.0,2023-05-07,North,125.63,customer42@example.com,No
1123,Customer_122,24.0,2024-01-02,South,,customer122@example.com,Yes
1045,Customer_44,38.0,2023-05-13,SOUTH,57.28,customer44@example.com,No
1106,Customer_105,41.0,2023-11-12,,174.0,customer105@example.com,No
1139,Customer_138,18.0,2024-02-19,South,228.05,customer138@example.com,1
1067,Customer_66,67.0,2023-07-18,South,225.58,customer66@example.com,0
1034,Customer_33,45.0,2023-04-10,SOUTH,157.62,customer33@example.com,Yes
1142,Customer_141,64.0,2024-02-28,West,142.64,customer141@example.com,1
1060,Customer_59,61.0,2023-06-27,East,92.56,customer59@example.com,No
1128,Customer_127,,2024-01-17,North,115.28,customer127@example.com,yes
1132,Customer_131,54.0,2024-01-29,East,132.8,customer131@example.com,1
1149,Customer_148,56.0,2024-03-20,East,214.43,customer148@example.com,Yes
1126,Customer_125,29.0,2024-01-11,,192.43,customer125@example.com,yes
1059,Customer_58,24.0,2023-06-24,West,176.27,customer58@example.com,0
1029,Customer_28,61.0,2023-03-26,West,,customer28@example.com,No
1125,Customer_124,25.0,2024-01-08,East,170.06,customer124@example.com,0
1112,Customer_111,68.0,2023-11-30,West,180.24,customer111@example.com,0
1055,Customer_54,19.0,2023-06-12,north,167.99,customer54@example.com,No
1018,Customer_17,39.0,2023-02-21,East,272.44,customer17@example.com,Yes
1074,Customer_73,46.0,2023-08-08,north,167.04,customer73@example.com,Yes
1105,Customer_104,26.0,2023-11-09,North,177.96,customer104@example.com,0
1136,Customer_135,39.0,2024-02-10,West,110.75,customer135@example.com,1
1078,Customer_77,51.0,2023-08-20,North,170.75,customer77@example.com,1
1019,Customer_18,19.0,2023-02-24,,97.26,customer18@example.com,1
1049,Customer_48,21.0,2023-05-25,North,175.4,customer48@example.com,yes
1005,Customer_4,60.0,2023-01-13,north,172.68,customer4@example.com,1
1046,Customer_45,26.0,2023-05-16,,,customer45@example.com,0
1103,Customer_102,42.0,2023-11-03,East,136.42,customer102@example.com,Yes
1040,Customer_39,69.0,2023-04-28,SOUTH,152.03,customer39@example.com,Yes
1037,Customer_36,64.0,2023-04-19,South,174.25,customer36@example.com,0
1121,Customer_120,58.0,2023-12-27,North,159.08,customer120@example.com,No
1150,Customer_149,44.0,2024-03-23,East,171.12,customer149@example.com,0
1111,Customer_110,28.0,2023-11-27,West,150.07,customer110@example.com,0
1013,Customer_12,41.0,2023-02-06,north,203.73,customer12@example.com,1
1012,Customer_11,28.0,2023-02-03,north,148.99,customer11@example.com,Yes
1086,Customer_85,31.0,2023-09-13,,132.64,customer85@example.com,yes
1127,Customer_126,51.0,2024-01-14,North,123.24,customer126@example.com,Yes
1098,Customer_97,58.0,2023-10-19,north,239.79,customer97@example.com,0
1117,Customer_116,50.0,2023-12-15,East,196.9,customer116@example.com,yes
1003,Customer_2,46.0,2023-01-07,,184.16,customer2@example.com,Yes
1108,Customer_107,61.0,2023-11-18,SOUTH,66.25,customer107@example.com,0
1007,Customer_6,,2023-01-19,North,144.28,customer6@example.com,0
1001,Customer_0,56.0,2023-01-01,North,138.58,customer0@example.com,1
1114,Customer_113,25.0,2023-12-06,West,166.55,customer113@example.com,1
1066,Customer_65,53.0,2023-07-15,North,133.62,customer65@example.com,0
1056,Customer_55,37.0,2023-06-15,North,221.16,customer55@example.com,1
1082,Customer_81,48.0,2023-09-01,SOUTH,120.43,customer81@example.com,yes
1085,Customer_84,25.0,2023-09-10,North,213.72,customer84@example.com,yes
